ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Taxonomy
ASV1575	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1576	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
ASV1577	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Chytridiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1578	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1579	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	Phialemonium inflatum	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium;s__Phialemonium inflatum
ASV1580	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Undetermined;g__Undetermined;s__Undetermined
ASV1581	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita Undetermined	Species	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__Serendipita Undetermined
ASV1582	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1583	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	Occultifur externus	Species	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Occultifur;s__Occultifur externus
ASV1584	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron echinulatum	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron echinulatum
ASV1585	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Ascomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV1588	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
