	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV763	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus deciduus	Species	Saprotroph
ASV764	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV766	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma harzianum	Species	Saprotroph
ASV768	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV769	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Lecania	Lecania erysibe	Species	NA
ASV770	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia perforans	Species	NA
ASV771	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV772	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	Tricharina Undetermined	Species	Saprotroph
ASV774	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus turnauae	Species	Arbuscular Mycorrhizal
ASV776	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe anthracophila	Species	Saprotroph
ASV777	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Ustilentyloma	Ustilentyloma graminis	Species	Pathotroph
ASV778	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV779	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron echinulatum	Species	Saprotroph
ASV780	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria podocarpi	Species	Pathotroph
ASV782	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium Undetermined	Species	Pathotroph
ASV785	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus verrucispermus	Species	Saprotroph
ASV786	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV787	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	Pathotroph
ASV788	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Bryochiton	Bryochiton monascus	Species	Pathotroph
ASV789	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV790	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis narcotica	Species	Saprotroph
ASV791	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV794	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV795	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	Saprotroph
ASV796	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron Undetermined	Species	Saprotroph
