	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV1197	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1198	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1199	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1200	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1201	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus	Species	Pathotroph
ASV1202	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV1203	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV1204	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1205	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	SaccharomycetalesfamIncertaesedis	Candida	Candida sorbosivorans	Species	Saprotroph
ASV1206	Fungi	Glomeromycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	Arbuscular Mycorrhizal
ASV1207	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1209	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	RhizophydialesfamIncertaesedis	Coralloidiomyces	Coralloidiomyces digitatus	Species	Saprotroph
ASV1210	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1211	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomidium	Chaetomidium gallecicum	Species	Saprotroph
ASV1213	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1215	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1216	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Caloplaca	Caloplaca atroflava	Species	NA
ASV1217	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	Saprotroph
ASV1218	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	Saprotroph
ASV1219	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Cadophora	Cadophora melinii	Species	Saprotroph
ASV1220	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus Undetermined	Species	Arbuscular Mycorrhizal
ASV1221	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe fuscimarginata	Species	Saprotroph
ASV1222	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1223	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus deciduus	Species	Saprotroph
ASV1224	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV1225	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia Undetermined	Species	Arbuscular Mycorrhizal
ASV1226	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma Undetermined	Species	Pathotroph
ASV1227	Fungi	Ascomycota	Sordariomycetes	Sordariales	SordarialesfamIncertaesedis	Ramophialophora	Ramophialophora humicola	Species	Saprotroph
ASV1228	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1230	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium proliferatum	Species	Pathotroph
ASV1231	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1232	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella rishikesha	Species	Saprotroph
ASV1235	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus deciduus	Species	Saprotroph
ASV1236	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1237	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1239	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron Undetermined	Species	Saprotroph
ASV1240	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1241	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1242	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1243	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1244	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	Pathotroph
ASV1246	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron rhodogenum	Species	Saprotroph
ASV1247	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1248	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	ErythrobasidialesfamIncertaesedis	Sakaguchia	Sakaguchia lamellibrachiae	Species	Saprotroph
ASV1249	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	Saprotroph
ASV1250	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1251	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1252	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Halomycetaceae	Paranamyces	Paranamyces uniporus	Species	NA
ASV1255	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1256	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium Undetermined	Species	Pathotroph
ASV1257	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus claroideum	Species	Arbuscular Mycorrhizal
ASV1258	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1259	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1260	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV1261	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora Undetermined	Species	Pathotroph
ASV1263	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum dulcitum	Species	Saprotroph
ASV1264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria ramulariae	Species	Pathotroph
ASV1265	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1266	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi	Species	Saprotroph
ASV1267	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1270	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1271	Fungi	Ascomycota	Dothideomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1272	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV1273	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1274	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1276	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1277	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron Undetermined	Species	Saprotroph
ASV1278	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1279	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis Undetermined	Species	Arbuscular Mycorrhizal
ASV1280	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1281	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1282	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua	Species	Saprotroph
ASV1283	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus noxius	Species	NA
ASV1285	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Rhynchosporium	Rhynchosporium secalis	Species	Pathotroph
ASV1286	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria	Eucasphaeria capensis	Species	Saprotroph
ASV1287	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	CantharellalesfamIncertaesedis	Burgoa	Burgoa verzuoliana	Species	NA
ASV1288	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium colombiense	Species	Pathotroph
ASV1289	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1290	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1292	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1294	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Flagelloscypha	Flagelloscypha minutissima	Species	NA
ASV1295	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1297	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	Monosporascus Undetermined	Species	Pathotroph
ASV1298	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium magnum	Species	Saprotroph
ASV1299	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	Saprotroph
ASV1301	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella angusta	Species	Saprotroph
ASV1303	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella Undetermined	Species	Saprotroph
ASV1306	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1307	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1308	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1311	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1312	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora Undetermined	Species	Arbuscular Mycorrhizal
ASV1313	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	Syncephalis Undetermined	Species	NA
ASV1315	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV1316	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria pseudobassiana	Species	Saprotroph
ASV1317	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1318	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1319	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium Undetermined	Species	Saprotroph
ASV1320	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita Undetermined	Species	Saprotroph
ASV1322	Fungi	Ascomycota	Sordariomycetes	Xylariales	XylarialesfamIncertaesedis	Phialemoniopsis	Phialemoniopsis curvata	Species	NA
ASV1323	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	Saprotroph
ASV1324	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	HoltermannialesfamIncertaesedis	Holtermanniella	Holtermanniella takashimae	Species	Saprotroph
ASV1325	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	Saprotroph
ASV1327	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1328	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia orientalis	Species	NA
ASV1330	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia scutellata	Species	Saprotroph
ASV1332	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium Undetermined	Species	NA
ASV1333	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Auxarthron	Auxarthron californiense	Species	Saprotroph
ASV1334	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	Cladorrhinum foecundissimum	Species	Saprotroph
ASV1335	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1336	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys Undetermined	Species	NA
ASV1337	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1338	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium solani	Species	Pathotroph
ASV1339	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1341	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1342	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1343	Fungi	Rozellomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1344	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium macerans	Species	Saprotroph
ASV1345	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1346	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1347	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia macrospinosa	Species	NA
ASV1348	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor hiemalis	Species	Saprotroph
ASV1349	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis geosporum	Species	Arbuscular Mycorrhizal
ASV1350	Fungi	Ascomycota	Sordariomycetes	Hypocreales	HypocrealesfamIncertaesedis	Acremonium	Acremonium Undetermined	Species	Saprotroph
ASV1351	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Auriscalpium	Auriscalpium vulgare	Species	Pathotroph
ASV1352	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera alba	Species	Saprotroph
ASV1354	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1355	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia peltigerae	Species	NA
ASV1356	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1357	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV1358	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1359	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	Saprotroph
ASV1360	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV1362	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia achra	Species	Arbuscular Mycorrhizal
ASV1364	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1365	Fungi	Rozellomycota	RozellomycotinaclsIncertaesedis	RozellomycotinaordIncertaesedis	RozellomycotinafamIncertaesedis	Paramicrosporidium	Paramicrosporidium saccamoebae	Species	NA
ASV1367	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora trappei	Species	Arbuscular Mycorrhizal
ASV1368	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1369	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	Hyphoderma Undetermined	Species	Saprotroph
ASV1370	Fungi	Ascomycota	Pezizomycetes	Pezizales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1371	Fungi	Ascomycota	Sordariomycetes	Xylariales	XylarialesfamIncertaesedis	Phialemoniopsis	Phialemoniopsis curvata	Species	NA
ASV1372	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita indica	Species	Saprotroph
ASV1373	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella Undetermined	Species	Saprotroph
ASV1374	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1376	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1378	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1379	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1380	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1382	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis geosporum	Species	Arbuscular Mycorrhizal
ASV1383	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1384	Fungi	Glomeromycota	Glomeromycetes	Gigasporales	Gigasporaceae	Gigaspora	Gigaspora margarita	Species	Arbuscular Mycorrhizal
ASV1385	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus walkeri	Species	Arbuscular Mycorrhizal
ASV1386	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella antarctica	Species	Saprotroph
ASV1387	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1388	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Halomycetaceae	Paranamyces	Paranamyces uniporus	Species	NA
ASV1389	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera Undetermined	Species	Saprotroph
ASV1391	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1394	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria fimicola	Species	Saprotroph
ASV1396	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1397	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	Leucosporidium fragarium	Species	Saprotroph
ASV1398	Fungi	Ascomycota	Pezizomycetes	Pezizales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1400	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza howsei	Species	Saprotroph
ASV1404	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1406	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1407	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria pilleata	Species	Pathotroph
ASV1408	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1409	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV1410	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1411	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora invisitata	Species	NA
ASV1412	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1413	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Halomycetaceae	Paranamyces	Paranamyces uniporus	Species	NA
ASV1414	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia tsunedae	Species	NA
ASV1416	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1417	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1418	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV1422	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1423	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea circinata	Species	Pathotroph
ASV1424	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1425	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	ErythrobasidialesfamIncertaesedis	Sakaguchia	Sakaguchia dacryoidea	Species	Saprotroph
ASV1427	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella fujikuroi	Species	Pathotroph
ASV1428	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1430	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1431	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella minutissima	Species	Saprotroph
ASV1432	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1433	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1434	Fungi	Ascomycota	Sordariomycetes	Sordariales	SordarialesfamIncertaesedis	Staphylotrichum	Staphylotrichum Undetermined	Species	NA
ASV1435	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Cadophora	Cadophora Undetermined	Species	Pathotroph
ASV1436	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1437	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1438	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone	Endogone Undetermined	Species	Saprotroph
ASV1439	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1441	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis	Species	Pathotroph
ASV1442	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
